[2026-07-04T14:13:24.033+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-04T14:13:24.085+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_ecommerce.download_minio scheduled__2026-07-04T14:12:00+00:00 [queued]>
[2026-07-04T14:13:24.096+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_ecommerce.download_minio scheduled__2026-07-04T14:12:00+00:00 [queued]>
[2026-07-04T14:13:24.098+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-07-04T14:13:24.124+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-07-04 14:12:00+00:00
[2026-07-04T14:13:24.138+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_ecommerce', 'download_minio', 'scheduled__2026-07-04T14:12:00+00:00', '--job-id', '25', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmpoynprc2c']
[2026-07-04T14:13:24.142+0000] {standard_task_runner.py:91} INFO - Job 25: Subtask download_minio
[2026-07-04T14:13:24.142+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=13465) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-04T14:13:24.144+0000] {standard_task_runner.py:64} INFO - Started process 13472 to run task
[2026-07-04T14:13:24.235+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_ecommerce.download_minio scheduled__2026-07-04T14:12:00+00:00 [running]> on host 791512f83421
[2026-07-04T14:13:24.377+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_ecommerce' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-07-04T14:12:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-04T14:12:00+00:00'
[2026-07-04T14:13:24.379+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-04T14:13:30.681+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118474101.parquet -> /tmp/minio_downloads/customers_190118474101.parquet
[2026-07-04T14:13:30.700+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118558805.parquet -> /tmp/minio_downloads/customers_190118558805.parquet
[2026-07-04T14:13:30.720+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118637451.parquet -> /tmp/minio_downloads/customers_190118637451.parquet
[2026-07-04T14:13:30.744+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118704077.parquet -> /tmp/minio_downloads/customers_190118704077.parquet
[2026-07-04T14:13:30.769+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118757294.parquet -> /tmp/minio_downloads/customers_190118757294.parquet
[2026-07-04T14:13:30.790+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118804450.parquet -> /tmp/minio_downloads/customers_190118804450.parquet
[2026-07-04T14:13:30.812+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118859377.parquet -> /tmp/minio_downloads/customers_190118859377.parquet
[2026-07-04T14:13:30.833+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118909807.parquet -> /tmp/minio_downloads/customers_190118909807.parquet
[2026-07-04T14:13:30.854+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118962070.parquet -> /tmp/minio_downloads/customers_190118962070.parquet
[2026-07-04T14:13:30.874+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119013345.parquet -> /tmp/minio_downloads/customers_190119013345.parquet
[2026-07-04T14:13:30.895+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119066490.parquet -> /tmp/minio_downloads/customers_190119066490.parquet
[2026-07-04T14:13:30.916+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119139754.parquet -> /tmp/minio_downloads/customers_190119139754.parquet
[2026-07-04T14:13:30.938+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119263543.parquet -> /tmp/minio_downloads/customers_190119263543.parquet
[2026-07-04T14:13:30.963+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119390209.parquet -> /tmp/minio_downloads/customers_190119390209.parquet
[2026-07-04T14:13:30.986+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119463358.parquet -> /tmp/minio_downloads/customers_190119463358.parquet
[2026-07-04T14:13:31.007+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119548561.parquet -> /tmp/minio_downloads/customers_190119548561.parquet
[2026-07-04T14:13:31.030+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119628300.parquet -> /tmp/minio_downloads/customers_190119628300.parquet
[2026-07-04T14:13:31.055+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119731265.parquet -> /tmp/minio_downloads/customers_190119731265.parquet
[2026-07-04T14:13:31.077+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119816203.parquet -> /tmp/minio_downloads/customers_190119816203.parquet
[2026-07-04T14:13:31.102+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119905698.parquet -> /tmp/minio_downloads/customers_190119905698.parquet
[2026-07-04T14:13:31.127+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120040271.parquet -> /tmp/minio_downloads/customers_190120040271.parquet
